provider,arm,probe_type,event,probe_id,rep,delay_s,prefix_tokens_target,t_iso,cache_creation,cache_read,input_tokens,latency_ms,est_cost_usd,note
anthropic,anthropic-5m,ttl,write,anthropic-5m-d3600-r1,1,3600,4832,2026-07-06T16:55:58+00:00,4836,0,7,594.9,0.006052,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d3600-r1,1,3600,4832,2026-07-06T16:56:01+00:00,0,0,4842,958.5,0.002905,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d3600-r1,1,3600,4832,2026-07-06T16:56:03+00:00,4833,0,7,1100.1,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d3600-r1,1,3600,4832,2026-07-06T16:56:05+00:00,0,0,4845,880.0,0.002907,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d7200-r1,1,7200,4832,2026-07-06T16:56:07+00:00,4834,0,7,828.8,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d7200-r1,1,7200,4832,2026-07-06T16:56:08+00:00,0,0,4842,557.9,0.002905,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d7200-r1,1,7200,4832,2026-07-06T16:56:10+00:00,4834,0,7,581.0,0.009675,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d7200-r1,1,7200,4832,2026-07-06T16:56:12+00:00,0,0,4844,478.9,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d30-r2,2,30,4832,2026-07-06T16:56:14+00:00,4833,0,7,601.6,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d30-r2,2,30,4832,2026-07-06T16:56:17+00:00,0,0,4845,748.3,0.002907,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d30-r2,2,30,4832,2026-07-06T16:56:18+00:00,4832,0,7,650.6,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d30-r2,2,30,4832,2026-07-06T16:56:20+00:00,0,0,4843,604.0,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d120-r2,2,120,4832,2026-07-06T16:56:23+00:00,4833,0,7,768.3,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d120-r2,2,120,4832,2026-07-06T16:56:24+00:00,0,0,4844,499.2,0.002906,model=gpt-4o-mini
